Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01 - Homepage,Chrome 101.0.4951.54,,,2022-05-10 18:32:37,2022-05-10 18:33:10,32.848s,PASSED
,,,,,,,
Test Cases/SmallProject1_Version2/TS01_TC01_UserAccessPage,Chrome 101.0.4951.54,,,2022-05-10 18:32:38,2022-05-10 18:32:45,7.466s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-10 18:32:38,2022-05-10 18:32:40,2.345s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-10 18:32:40,2022-05-10 18:32:40,0.160s,PASSED
"navigateToUrl(""https://demo.midtrans.com/"")",Chrome 101.0.4951.54,,,2022-05-10 18:32:40,2022-05-10 18:32:41,0.527s,PASSED
"verifyElementVisible(findTestObject(""1. Homepage/Header_MidtransPillow_Homepage""))",Chrome 101.0.4951.54,,,2022-05-10 18:32:41,2022-05-10 18:32:42,0.737s,PASSED
"verifyElementText(findTestObject(""1. Homepage/Title_Homepage""), ""Midtrans Pillow"")",Chrome 101.0.4951.54,,,2022-05-10 18:32:42,2022-05-10 18:32:42,0.342s,PASSED
"verifyElementText(findTestObject(""1. Homepage/Desc_Price_Homepage""), ""Rp 20,000"")",Chrome 101.0.4951.54,,,2022-05-10 18:32:42,2022-05-10 18:32:42,0.329s,PASSED
"verifyElementText(findTestObject(""1. Homepage/Desc_Title_Homepage""), ""Get cozy with our new pillow!"")",Chrome 101.0.4951.54,,,2022-05-10 18:32:42,2022-05-10 18:32:43,0.341s,PASSED
"verifyElementText(findTestObject(""1. Homepage/Desc_Homepage""), ""Disclaimer: This is not a real transaction.No funds will be transfered out of your account. You should sleep with a proper pillow to refrain yourself from injury."")",Chrome 101.0.4951.54,,,2022-05-10 18:32:43,2022-05-10 18:32:43,0.340s,PASSED
"verifyElementClickable(findTestObject(""2. Register/Button_Register""))",Chrome 101.0.4951.54,,,2022-05-10 18:32:43,2022-05-10 18:32:43,0.332s,PASSED
"verifyElementClickable(findTestObject(""3. Checkout/a_BUY NOW""))",Chrome 101.0.4951.54,,,2022-05-10 18:32:43,2022-05-10 18:32:44,0.348s,PASSED
"verifyElementClickable(findTestObject(""1. Homepage/Button_Slide_Left""))",Chrome 101.0.4951.54,,,2022-05-10 18:32:44,2022-05-10 18:32:44,0.334s,PASSED
"verifyElementClickable(findTestObject(""1. Homepage/Button_Slide_Right""))",Chrome 101.0.4951.54,,,2022-05-10 18:32:44,2022-05-10 18:32:44,0.349s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-10 18:32:44,2022-05-10 18:32:45,0.658s,PASSED
,,,,,,,
Test Cases/SmallProject1_Version2/TS01_TC02_CheckButtonFunction_BuyNow,Chrome 101.0.4951.54,,,2022-05-10 18:32:45,2022-05-10 18:32:50,4.748s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-10 18:32:45,2022-05-10 18:32:47,1.368s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-10 18:32:47,2022-05-10 18:32:47,0.146s,PASSED
"navigateToUrl(""https://demo.midtrans.com/"")",Chrome 101.0.4951.54,,,2022-05-10 18:32:47,2022-05-10 18:32:47,0.561s,PASSED
"click(findTestObject(""3. Checkout/a_BUY NOW""))",Chrome 101.0.4951.54,,,2022-05-10 18:32:47,2022-05-10 18:32:48,0.696s,PASSED
"verifyElementVisibleInViewport(findTestObject(""3. Checkout/Verify_ShoppingCart""), 0)",Chrome 101.0.4951.54,,,2022-05-10 18:32:48,2022-05-10 18:32:49,0.590s,PASSED
"verifyElementText(findTestObject(""3. Checkout/Verify_CustomerDetail""), ""Customer Details"")",Chrome 101.0.4951.54,,,2022-05-10 18:32:49,2022-05-10 18:32:49,0.355s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-10 18:32:49,2022-05-10 18:32:50,0.748s,PASSED
,,,,,,,
Test Cases/SmallProject1_Version2/TS01_TC03_CheckButtonFunction_SlideShow,Chrome 101.0.4951.54,,,2022-05-10 18:32:50,2022-05-10 18:33:01,11.412s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-10 18:32:50,2022-05-10 18:32:51,1.310s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-10 18:32:51,2022-05-10 18:32:52,0.190s,PASSED
"navigateToUrl(""https://demo.midtrans.com/"")",Chrome 101.0.4951.54,,,2022-05-10 18:32:52,2022-05-10 18:32:52,0.518s,PASSED
"click(findTestObject(""1. Homepage/Button_Slide_Left""))",Chrome 101.0.4951.54,,,2022-05-10 18:32:52,2022-05-10 18:32:53,0.562s,PASSED
delay(3),Chrome 101.0.4951.54,,,2022-05-10 18:32:53,2022-05-10 18:32:56,3.026s,PASSED
takeFullPageScreenshot(),Chrome 101.0.4951.54,,,2022-05-10 18:32:56,2022-05-10 18:32:56,0.759s,PASSED
"click(findTestObject(""1. Homepage/Button_Slide_Right""))",Chrome 101.0.4951.54,,,2022-05-10 18:32:56,2022-05-10 18:32:57,0.365s,PASSED
delay(3),Chrome 101.0.4951.54,,,2022-05-10 18:32:57,2022-05-10 18:33:00,3.007s,PASSED
takeFullPageScreenshot(),Chrome 101.0.4951.54,,,2022-05-10 18:33:00,2022-05-10 18:33:01,0.783s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-10 18:33:01,2022-05-10 18:33:01,0.649s,PASSED
,,,,,,,
Test Cases/SmallProject1_Version2/TS01_TC04_CheckButtonFunction_SignUp,Chrome 101.0.4951.54,,,2022-05-10 18:33:01,2022-05-10 18:33:10,8.882s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-10 18:33:02,2022-05-10 18:33:03,1.164s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-10 18:33:03,2022-05-10 18:33:03,0.145s,PASSED
"navigateToUrl(""https://demo.midtrans.com/"")",Chrome 101.0.4951.54,,,2022-05-10 18:33:03,2022-05-10 18:33:03,0.490s,PASSED
delay(3),Chrome 101.0.4951.54,,,2022-05-10 18:33:03,2022-05-10 18:33:06,3.015s,PASSED
"click(findTestObject(""2. Register/Button_Register""))",Chrome 101.0.4951.54,,,2022-05-10 18:33:06,2022-05-10 18:33:09,2.494s,PASSED
switchToWindowIndex(1),Chrome 101.0.4951.54,,,2022-05-10 18:33:09,2022-05-10 18:33:09,0.042s,PASSED
url = getUrl(),Chrome 101.0.4951.54,,,2022-05-10 18:33:09,2022-05-10 18:33:10,1.284s,PASSED
"verifyEqual(url, ""https://dashboard.midtrans.com/register"")",Chrome 101.0.4951.54,,,2022-05-10 18:33:10,2022-05-10 18:33:10,0.009s,PASSED
