Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS03 - Payment Method - CreditDebit Card,Chrome 101.0.4951.54,,,2022-05-10 18:53:20,2022-05-10 19:02:31,9m - 11.364s,FAILED
,,,,,,,
Test Cases/SmallProject1_Version2/TC34_UserSuccessPaidUsingCC_WithoutPromo,Chrome 101.0.4951.54,,,2022-05-10 18:53:20,2022-05-10 18:54:25,1m - 4.404s,PASSED
"callTestCase(findTestCase(""SmallProject1_Version2/TC32_UserSuccessCheckout""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 18:53:21,2022-05-10 18:53:34,13.162s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_CC/Title_CC""))",Chrome 101.0.4951.54,,,2022-05-10 18:53:34,2022-05-10 18:53:34,0.417s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_CC/Logo_CC""))",Chrome 101.0.4951.54,,,2022-05-10 18:53:34,2022-05-10 18:53:35,0.425s,PASSED
"click(findTestObject(""4. Payment/Payment_CC/a_CreditDebit CardPay with Visa, MasterCard, JCB, or Amexpromo""))",Chrome 101.0.4951.54,,,2022-05-10 18:53:35,2022-05-10 18:53:35,0.526s,PASSED
delay(1),Chrome 101.0.4951.54,,,2022-05-10 18:53:35,2022-05-10 18:53:36,1.015s,PASSED
takeFullPageScreenshot(),Chrome 101.0.4951.54,,,2022-05-10 18:53:36,2022-05-10 18:53:37,0.516s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_CC/Header_CreditDebitCard""), ""Credit/debit card"")",Chrome 101.0.4951.54,,,2022-05-10 18:53:37,2022-05-10 18:53:37,0.415s,PASSED
"verifyElementNotClickable(findTestObject(""4. Payment/Payment_CC/Promo_Installment""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 18:53:37,2022-05-10 18:53:38,0.427s,PASSED
"verifyElementNotClickable(findTestObject(""4. Payment/Payment_CC/Promo_10Persen""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 18:53:38,2022-05-10 18:53:38,0.438s,PASSED
"verifyElementNotClickable(findTestObject(""4. Payment/Payment_CC/Promo_Midtrans""))",Chrome 101.0.4951.54,,,2022-05-10 18:53:38,2022-05-10 18:53:38,0.409s,PASSED
"verifyElementNotClickable(findTestObject(""4. Payment/Payment_CC/Promo_MasterCard""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 18:53:38,2022-05-10 18:53:39,0.409s,PASSED
"verifyElementNotClickable(findTestObject(""4. Payment/Payment_CC/Promo_10Rupiah""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 18:53:39,2022-05-10 18:53:39,0.410s,PASSED
"verifyElementClickable(findTestObject(""4. Payment/Payment_CC/No_Promo""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 18:53:39,2022-05-10 18:53:40,0.408s,PASSED
"setText(findTestObject(""4. Payment/Payment_CC/Field_CardNumber""), findTestData(""Success_CardNumber"").getValue(1, 1))",Chrome 101.0.4951.54,,,2022-05-10 18:53:40,2022-05-10 18:53:40,0.610s,PASSED
"setText(findTestObject(""4. Payment/Payment_CC/Field_ExpireDate""), findTestData(""Success_CardNumber"").getValue(2, 1))",Chrome 101.0.4951.54,,,2022-05-10 18:53:40,2022-05-10 18:53:41,0.516s,PASSED
"setText(findTestObject(""4. Payment/Payment_CC/Field_CVV""), findTestData(""Success_CardNumber"").getValue(3, 1))",Chrome 101.0.4951.54,,,2022-05-10 18:53:41,2022-05-10 18:53:41,0.502s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_CC/Banner_Visa_AfterInputCardNumber""))",Chrome 101.0.4951.54,,,2022-05-10 18:53:41,2022-05-10 18:53:42,0.472s,PASSED
