Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS03 - Payment Method - Bank Transfer,Chrome 101.0.4951.54,,,2022-05-10 19:07:00,2022-05-10 19:10:01,3m - 1.664s,PASSED
,,,,,,,
Test Cases/SmallProject1_Version2/TC60_UserSelectMethod_BankTransferBCA,Chrome 101.0.4951.54,,,2022-05-10 19:07:00,2022-05-10 19:07:38,37.677s,PASSED
"callTestCase(findTestCase(""SmallProject1_Version2/TC32_UserSuccessCheckout""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:07:00,2022-05-10 19:07:14,14.127s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_ATMBankTransfer/Title_BankTransfer""))",Chrome 101.0.4951.54,,,2022-05-10 19:07:14,2022-05-10 19:07:15,0.484s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_ATMBankTransfer/Logo_BankTransfer""))",Chrome 101.0.4951.54,,,2022-05-10 19:07:15,2022-05-10 19:07:15,0.455s,PASSED
"click(findTestObject(""4. Payment/Payment_ATMBankTransfer/Button_BankTransfer""))",Chrome 101.0.4951.54,,,2022-05-10 19:07:15,2022-05-10 19:07:16,0.525s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_ATMBankTransfer/Header_BankTransfer""), ""Bank transfer"")",Chrome 101.0.4951.54,,,2022-05-10 19:07:16,2022-05-10 19:07:16,0.437s,PASSED
"click(findTestObject(""4. Payment/Payment_ATMBankTransfer/Button_BCA""))",Chrome 101.0.4951.54,,,2022-05-10 19:07:16,2022-05-10 19:07:17,0.509s,PASSED
delay(1),Chrome 101.0.4951.54,,,2022-05-10 19:07:17,2022-05-10 19:07:18,1.016s,PASSED
takeFullPageScreenshot(),Chrome 101.0.4951.54,,,2022-05-10 19:07:18,2022-05-10 19:07:18,0.519s,PASSED
"verifyElementText(findTestObject(""4. Payment/a_Header_Details""), ""Bank BCA"")",Chrome 101.0.4951.54,,,2022-05-10 19:07:18,2022-05-10 19:07:19,0.440s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_ATMBankTransfer/Desc_AllBank""))",Chrome 101.0.4951.54,,,2022-05-10 19:07:19,2022-05-10 19:07:19,0.413s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_ATMBankTransfer/VAnumber_BCA""))",Chrome 101.0.4951.54,,,2022-05-10 19:07:19,2022-05-10 19:07:20,0.446s,PASSED
"verifyElementClickable(findTestObject(""4. Payment/Payment_ATMBankTransfer/Button_Copy""))",Chrome 101.0.4951.54,,,2022-05-10 19:07:20,2022-05-10 19:07:20,0.442s,PASSED
"click(findTestObject(""5. PopUp Detail/Button_Float_Down""))",Chrome 101.0.4951.54,,,2022-05-10 19:07:20,2022-05-10 19:07:21,0.479s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_AmountMidtransPillow""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:07:21,2022-05-10 19:07:21,0.428s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Name_Summary""), Name)",Chrome 101.0.4951.54,,,2022-05-10 19:07:21,2022-05-10 19:07:21,0.414s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Addess_Summary""), Address_2)",Chrome 101.0.4951.54,,,2022-05-10 19:07:21,2022-05-10 19:07:22,0.432s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Phone_Summary""), Phone_2)",Chrome 101.0.4951.54,,,2022-05-10 19:07:22,2022-05-10 19:07:22,0.427s,PASSED
"total1 = verifyElementText(findTestObject(""5. PopUp Detail/Verify_TotalAmount_PopUp""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:07:22,2022-05-10 19:07:23,0.426s,PASSED
"total2 = verifyElementText(findTestObject(""5. PopUp Detail/Verify_TotalAmount_Summary""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:07:23,2022-05-10 19:07:23,0.476s,PASSED
"verifyEqual(total1, total2, STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:07:23,2022-05-10 19:07:23,0.009s,PASSED
"click(findTestObject(""5. PopUp Detail/Button_Float_Up""))",Chrome 101.0.4951.54,,,2022-05-10 19:07:23,2022-05-10 19:07:24,0.470s,PASSED
"click(findTestObject(""4. Payment/a_Button_HowToPay""))",Chrome 101.0.4951.54,,,2022-05-10 19:07:24,2022-05-10 19:07:24,0.492s,PASSED
"enhancedClick(findTestObject(""4. Payment/Payment_ATMBankTransfer/Button_HTP_ATMBCA""))",Chrome 101.0.4951.54,,,2022-05-10 19:07:24,2022-05-10 19:07:25,0.522s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_ATMBankTransfer/Verify_Step1_ATMBCA""), ""Select Other Transactions on the main menu."")",Chrome 101.0.4951.54,,,2022-05-10 19:07:25,2022-05-10 19:07:25,0.443s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_ATMBankTransfer/Verify_Step2_ATMBCA""), ""Select Transfer."")",Chrome 101.0.4951.54,,,2022-05-10 19:07:25,2022-05-10 19:07:26,0.474s,PASSED
