Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS03 - Payment Method - Mart,Chrome 101.0.4951.54,,,2022-05-10 19:46:03,2022-05-10 19:47:01,58.423s,PASSED
,,,,,,,
Test Cases/SmallProject1_Version2/TC76_UserSelectMethod_Indomaret,Chrome 101.0.4951.54,,,2022-05-10 19:46:03,2022-05-10 19:46:34,30.596s,PASSED
"callTestCase(findTestCase(""SmallProject1_Version2/TC32_UserSuccessCheckout""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:46:04,2022-05-10 19:46:17,13.137s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_Mart/Title_Indomaret""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:17,2022-05-10 19:46:17,0.492s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_Mart/Logo_Indomaret""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:17,2022-05-10 19:46:18,0.442s,PASSED
"click(findTestObject(""4. Payment/Payment_Mart/Button_Indomaret""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:18,2022-05-10 19:46:18,0.505s,PASSED
delay(1),Chrome 101.0.4951.54,,,2022-05-10 19:46:18,2022-05-10 19:46:19,1.013s,PASSED
takeFullPageScreenshot(),Chrome 101.0.4951.54,,,2022-05-10 19:46:19,2022-05-10 19:46:20,0.511s,PASSED
"verifyElementText(findTestObject(""4. Payment/a_Header_Details""), ""Indomaret"")",Chrome 101.0.4951.54,,,2022-05-10 19:46:20,2022-05-10 19:46:20,0.415s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_ATMBankTransfer/Desc_AllBank""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:46:20,2022-05-10 19:46:21,0.423s,PASSED
delay(3),Chrome 101.0.4951.54,,,2022-05-10 19:46:21,2022-05-10 19:46:24,3.010s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_Mart/PaymentCode_IndoAlfaMart""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:24,2022-05-10 19:46:24,0.440s,PASSED
"verifyElementClickable(findTestObject(""4. Payment/Payment_ATMBankTransfer/Button_Copy""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:24,2022-05-10 19:46:24,0.441s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_Mart/IMG_PaymentBarcode""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:24,2022-05-10 19:46:25,0.423s,PASSED
"click(findTestObject(""5. PopUp Detail/Button_Float_Down""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:25,2022-05-10 19:46:25,0.475s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_AmountMidtransPillow""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:46:25,2022-05-10 19:46:26,0.420s,PASSED
"total1 = verifyElementText(findTestObject(""5. PopUp Detail/Verify_TotalAmount_PopUp""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:46:26,2022-05-10 19:46:26,0.426s,PASSED
"total2 = verifyElementText(findTestObject(""5. PopUp Detail/Verify_TotalAmount_Summary""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:46:26,2022-05-10 19:46:27,0.409s,PASSED
"verifyEqual(total1, total2, STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:46:27,2022-05-10 19:46:27,0.010s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Name_Summary""), Name)",Chrome 101.0.4951.54,,,2022-05-10 19:46:27,2022-05-10 19:46:27,0.417s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Addess_Summary""), Address_2)",Chrome 101.0.4951.54,,,2022-05-10 19:46:27,2022-05-10 19:46:27,0.442s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Phone_Summary""), Phone_2)",Chrome 101.0.4951.54,,,2022-05-10 19:46:27,2022-05-10 19:46:28,0.423s,PASSED
"click(findTestObject(""5. PopUp Detail/Button_Float_Up""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:28,2022-05-10 19:46:28,0.486s,PASSED
"click(findTestObject(""4. Payment/a_Button_HowToPay""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:28,2022-05-10 19:46:29,0.468s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step1_Mart""), ""Tap Download payment info to get a copy of your unique payment details."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:29,2022-05-10 19:46:29,0.486s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step2_Mart""), ""If you’re going to pay on the counter, go to the nearest Indomaret store and show your payment code/barcode to the cashier."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:29,2022-05-10 19:46:30,0.406s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step3_Mart""), ""The cashier will confirm your transaction details. Once your transaction is successful, you’ll receive the payment confirmation e-mail."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:30,2022-05-10 19:46:30,0.410s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step4_Mart""), ""If you’re going to pay via i.saku, open the app and tap Bayar."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:30,2022-05-10 19:46:31,0.409s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step5_Mart""), ""Choose the merchant you’d like to pay to, and enter your payment code."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:31,2022-05-10 19:46:31,0.412s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step6_Mart""), ""Tap Selanjutnya and check your transaction details."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:31,2022-05-10 19:46:31,0.412s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step7_Mart""), ""Tap Bayar sekarang to confirm your payment."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:31,2022-05-10 19:46:32,0.409s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step8_Mart""), ""Please keep your Indomaret payment receipt in case you’ll need further help via support."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:32,2022-05-10 19:46:32,0.428s,PASSED
"click(findTestObject(""4. Payment/Payment_Mart/Button_CloseThisPage""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:32,2022-05-10 19:46:33,0.491s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_ATMBankTransfer/Verify_BookedPayment""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:46:33,2022-05-10 19:46:33,0.481s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-10 19:46:33,2022-05-10 19:46:34,0.676s,PASSED
,,,,,,,
Test Cases/SmallProject1_Version2/TC78_UserSelectMethod_AlfaGroup,Chrome 101.0.4951.54,,,2022-05-10 19:46:34,2022-05-10 19:47:01,27.561s,PASSED
"callTestCase(findTestCase(""SmallProject1_Version2/TC32_UserSuccessCheckout""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:46:34,2022-05-10 19:46:45,11.351s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_Mart/Title_Alfa""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:45,2022-05-10 19:46:46,0.408s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_Mart/Logo_Alfa""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:46,2022-05-10 19:46:46,0.424s,PASSED
"click(findTestObject(""4. Payment/Payment_Mart/Button_Alfa""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:46,2022-05-10 19:46:47,0.489s,PASSED
delay(1),Chrome 101.0.4951.54,,,2022-05-10 19:46:47,2022-05-10 19:46:48,1.007s,PASSED
takeFullPageScreenshot(),Chrome 101.0.4951.54,,,2022-05-10 19:46:48,2022-05-10 19:46:48,0.515s,PASSED
"verifyElementText(findTestObject(""4. Payment/a_Header_Details""), ""Alfa Group"")",Chrome 101.0.4951.54,,,2022-05-10 19:46:48,2022-05-10 19:46:49,0.411s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_ATMBankTransfer/Desc_AllBank""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:46:49,2022-05-10 19:46:49,0.424s,PASSED
delay(3),Chrome 101.0.4951.54,,,2022-05-10 19:46:49,2022-05-10 19:46:52,3.016s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_Mart/PaymentCode_IndoAlfaMart""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:52,2022-05-10 19:46:53,0.411s,PASSED
"verifyElementClickable(findTestObject(""4. Payment/Payment_ATMBankTransfer/Button_Copy""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:53,2022-05-10 19:46:53,0.408s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_Mart/IMG_PaymentBarcode""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:53,2022-05-10 19:46:53,0.406s,PASSED
"click(findTestObject(""5. PopUp Detail/Button_Float_Down""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:53,2022-05-10 19:46:54,0.456s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_AmountMidtransPillow""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:46:54,2022-05-10 19:46:54,0.408s,PASSED
"total1 = verifyElementText(findTestObject(""5. PopUp Detail/Verify_TotalAmount_PopUp""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:46:54,2022-05-10 19:46:55,0.410s,PASSED
"total2 = verifyElementText(findTestObject(""5. PopUp Detail/Verify_TotalAmount_Summary""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:46:55,2022-05-10 19:46:55,0.407s,PASSED
"verifyEqual(total1, total2, STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:46:55,2022-05-10 19:46:55,0.001s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Name_Summary""), Name)",Chrome 101.0.4951.54,,,2022-05-10 19:46:55,2022-05-10 19:46:55,0.406s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Addess_Summary""), Address_2)",Chrome 101.0.4951.54,,,2022-05-10 19:46:55,2022-05-10 19:46:56,0.407s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Phone_Summary""), Phone_2)",Chrome 101.0.4951.54,,,2022-05-10 19:46:56,2022-05-10 19:46:56,0.410s,PASSED
"click(findTestObject(""5. PopUp Detail/Button_Float_Up""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:56,2022-05-10 19:46:57,0.472s,PASSED
"click(findTestObject(""4. Payment/a_Button_HowToPay""))",Chrome 101.0.4951.54,,,2022-05-10 19:46:57,2022-05-10 19:46:57,0.488s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step1_Mart""), ""Tap Download payment info to get a copy of your unique payment details."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:57,2022-05-10 19:46:58,0.408s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step2_Mart""), ""Go to the nearest Alfamart/Alfamidi/Dan+Dan store near you and show your barcode/payment code to the cashier."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:58,2022-05-10 19:46:58,0.534s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step3_Mart""), ""The cashier will confirm your transaction details."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:58,2022-05-10 19:46:59,0.406s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step4_Mart""), ""Confirm your payment with the cashier."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:59,2022-05-10 19:46:59,0.406s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step5_Mart""), ""Once your transaction is successful, you'll receive the payment confirmation e-mail."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:59,2022-05-10 19:46:59,0.409s,PASSED
"verifyElementText(findTestObject(""4. Payment/Payment_Mart/Verify_Step6_Mart""), ""Please keep your Alfamart payment receipt in case you'll need further help via support."")",Chrome 101.0.4951.54,,,2022-05-10 19:46:59,2022-05-10 19:47:00,0.407s,PASSED
"click(findTestObject(""4. Payment/Payment_Mart/Button_CloseThisPage""))",Chrome 101.0.4951.54,,,2022-05-10 19:47:00,2022-05-10 19:47:00,0.489s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_ATMBankTransfer/Verify_BookedPayment""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:47:00,2022-05-10 19:47:01,0.450s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-10 19:47:01,2022-05-10 19:47:01,0.663s,PASSED
