Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS03 - Payment Method - Akulaku,Chrome 101.0.4951.54,,,2022-05-10 19:49:15,2022-05-10 19:51:24,2m - 8.307s,FAILED
,,,,,,,
Test Cases/SmallProject1_Version2/TC80_UserSelectMethod_Akulaku_WithoutDP,Chrome 101.0.4951.54,,,2022-05-10 19:49:16,2022-05-10 19:49:43,26.822s,PASSED
"callTestCase(findTestCase(""SmallProject1_Version2/TC32_UserSuccessCheckout""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:49:16,2022-05-10 19:49:29,12.848s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_Akulaku/Title_Akulaku""))",Chrome 101.0.4951.54,,,2022-05-10 19:49:29,2022-05-10 19:49:29,0.469s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_Akulaku/Logo_Akulaku""))",Chrome 101.0.4951.54,,,2022-05-10 19:49:29,2022-05-10 19:49:30,0.427s,PASSED
"click(findTestObject(""4. Payment/Payment_Akulaku/Button_Akulaku""))",Chrome 101.0.4951.54,,,2022-05-10 19:49:30,2022-05-10 19:49:30,0.502s,PASSED
delay(1),Chrome 101.0.4951.54,,,2022-05-10 19:49:30,2022-05-10 19:49:31,1.015s,PASSED
takeFullPageScreenshot(),Chrome 101.0.4951.54,,,2022-05-10 19:49:31,2022-05-10 19:49:32,0.523s,PASSED
"verifyElementText(findTestObject(""4. Payment/a_Header_Details""), ""Akulaku"")",Chrome 101.0.4951.54,,,2022-05-10 19:49:32,2022-05-10 19:49:32,0.424s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_ATMBankTransfer/Desc_AllBank""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:49:32,2022-05-10 19:49:33,0.411s,PASSED
"click(findTestObject(""5. PopUp Detail/Button_Float_Down""))",Chrome 101.0.4951.54,,,2022-05-10 19:49:33,2022-05-10 19:49:33,0.492s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_AmountMidtransPillow""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:49:33,2022-05-10 19:49:34,0.422s,PASSED
"total1 = verifyElementText(findTestObject(""5. PopUp Detail/Verify_TotalAmount_PopUp""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:49:34,2022-05-10 19:49:34,0.408s,PASSED
"total2 = verifyElementText(findTestObject(""5. PopUp Detail/Verify_TotalAmount_Summary""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:49:34,2022-05-10 19:49:34,0.426s,PASSED
"verifyEqual(total1, total2, STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:49:34,2022-05-10 19:49:34,0.010s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Name_Summary""), Name)",Chrome 101.0.4951.54,,,2022-05-10 19:49:34,2022-05-10 19:49:35,0.412s,PASSED
